date_time,speed,lane,auto
2020-10-1514:52:01,,1,1
2020-10-1514:52:02,75,1,1
2020-10-1514:52:03,,1,1
2020-10-1514:52:04,70,1,1
2020-10-1514:52:05,68,1,1
2020-10-1514:52:06,67,1,1
2020-10-1514:52:07,66,1,1
2020-10-1514:52:08,67,1,1
2020-10-1514:52:09,,1,1
2020-10-1514:52:10,67,1,1
2020-10-1514:52:11,,1,1
2020-10-1514:52:12,,1,1
2020-10-1514:52:13,,1,1
2020-10-1514:52:14,,1,1
2020-10-1514:52:15,67,1,1
2020-10-1514:52:16,67,1,1
2020-10-1514:52:17,,1,1
2020-10-1514:52:18,66,1,1
2020-10-1514:52:19,66,1,1
2020-10-1514:52:20,65,1,1
2020-10-1514:52:21,65,1,1
2020-10-1514:52:22,65,1,1
2020-10-1514:52:23,64,1,1
2020-10-1514:52:24,65,1,1
2020-10-1514:52:25,66,1,1
2020-10-1514:52:26,68,1,1
2020-10-1514:52:27,,1,1
2020-10-1514:52:28,,1,1
2020-10-1514:52:29,,1,1
2020-10-1514:52:30,,1,1
2020-10-1514:52:31,75,1,0
2020-10-1514:52:32,,1,0
2020-10-1514:52:33,,1,0
2020-10-1514:52:34,,1,0
2020-10-1514:52:35,,1,0
2020-10-1514:52:36,77,1,0
2020-10-1514:52:37,,0,0
2020-10-1514:52:38,76,1,0
2020-10-1514:52:39,72,1,1
2020-10-1514:52:40,70,1,1
2020-10-1514:52:41,67,1,1
2020-10-1514:52:42,,1,1
2020-10-1514:52:43,65,1,1
2020-10-1514:52:44,66,1,1
2020-10-1514:52:45,,1,1
2020-10-1514:52:46,68,1,1
2020-10-1514:52:47,69,1,1
2020-10-1514:52:48,71,1,1
2020-10-1514:52:49,4,1,1
2020-10-1514:52:50,,1,1
2020-10-1514:52:51,,1,1
2020-10-1514:52:52,76,1,1
2020-10-1514:52:53,76,1,1
2020-10-1514:52:54,,1,1
2020-10-1514:52:55,78,1,1
2020-10-1514:52:56,,1,1
2020-10-1514:52:57,,1,1
2020-10-1514:52:58,80,1,1
2020-10-1514:52:59,80,1,1
2020-10-1514:53:00,,1,1
2020-10-1514:53:01,,1,1
2020-10-1514:53:02,,1,1
2020-10-1514:53:03,82,1,1
2020-10-1514:53:04,82,1,1
2020-10-1514:53:05,82,1,1
2020-10-1514:53:06,6,1,1
2020-10-1514:53:07,6,1,1
2020-10-1514:53:08,83,1,1
2020-10-1514:53:09,82,1,1
2020-10-1514:53:10,4,1,1
2020-10-1514:53:11,,1,1
2020-10-1514:53:12,80,1,1
2020-10-1514:53:13,79,1,1
2020-10-1514:53:14,78,1,1
2020-10-1514:53:15,78,1,1
2020-10-1514:53:16,,1,1
2020-10-1514:53:17,,1,1
2020-10-1514:53:18,78,1,1
2020-10-1514:53:19,,1,1
2020-10-1514:53:20,80,1,1
2020-10-1514:53:21,80,1,1
2020-10-1514:53:22,80,1,1
2020-10-1514:53:23,,1,1
2020-10-1514:53:24,,1,1
2020-10-1514:53:25,75,1,1
2020-10-1514:53:26,72,1,1
2020-10-1514:53:27,48,1,1
2020-10-1514:53:28,69,1,1
2020-10-1514:53:29,69,1,1
2020-10-1514:53:30,69,1,1
2020-10-1514:53:31,69,1,1
2020-10-1514:53:32,69,1,1
2020-10-1514:53:33,70,1,1
2020-10-1514:53:34,70,1,1
2020-10-1514:53:35,,1,1
2020-10-1514:53:36,,1,1
2020-10-1514:53:37,4,1,1
2020-10-1514:53:38,73,1,1
2020-10-1514:53:39,,1,1
2020-10-1514:53:40,,1,1
2020-10-1514:53:41,,1,1
2020-10-1514:53:42,75,1,1
2020-10-1514:53:43,795,1,1
2020-10-1514:53:44,76,1,1
2020-10-1514:53:45,78,1,1
2020-10-1514:53:46,,1,1
2020-10-1514:53:47,82,1,1
2020-10-1514:53:48,83,1,1
2020-10-1514:53:49,84,1,1
2020-10-1514:53:50,,1,1
2020-10-1514:53:51,85,1,1
2020-10-1514:53:52,85,1,1
2020-10-1514:53:53,85,1,1
2020-10-1514:53:54,,1,1
2020-10-1514:53:55,86,1,1
2020-10-1514:53:56,86,1,1
2020-10-1514:53:57,86,1,1
2020-10-1514:53:58,86,1,1
2020-10-1514:53:59,86,1,1
2020-10-1514:54:00,86,1,1
2020-10-1514:54:01,86,1,1
2020-10-1514:54:02,,1,1
2020-10-1514:54:03,86,1,1
2020-10-1514:54:04,86,1,1
2020-10-1514:54:05,86,1,1
2020-10-1514:54:06,86,1,1
2020-10-1514:54:07,86,1,1
2020-10-1514:54:08,86,1,1
2020-10-1514:54:09,86,1,1
2020-10-1514:54:10,85,1,1
2020-10-1514:54:11,85,1,1
2020-10-1514:54:12,85,1,1
2020-10-1514:54:13,85,1,1
2020-10-1514:54:14,,1,1
2020-10-1514:54:15,,1,1
2020-10-1514:54:16,86,1,1
2020-10-1514:54:17,85,1,1
2020-10-1514:54:18,85,1,1
2020-10-1514:54:19,85,1,1
2020-10-1514:54:20,85,1,1
