date_time,speed,lane,auto
2020-10-1516:21:22,8,0,0
2020-10-1516:21:23,8,0,0
2020-10-1516:21:25,8,0,0
2020-10-1516:21:26,8,0,0
2020-10-1516:21:27,8,0,0
2020-10-1516:21:28,8,0,0
2020-10-1516:21:29,8,0,0
2020-10-1516:21:30,8,0,0
2020-10-1516:21:32,8,0,0
2020-10-1516:21:33,8,0,0
2020-10-1516:21:34,8,0,0
2020-10-1516:21:35,8,0,0
2020-10-1516:21:36,8,0,0
2020-10-1516:21:38,8,0,0
2020-10-1516:21:39,8,0,0
2020-10-1516:21:40,8,0,0
2020-10-1516:21:41,8,0,0
2020-10-1516:21:41,8,0,0
2020-10-1516:21:42,8,0,0
2020-10-1516:21:43,8,0,0
2020-10-1516:21:44,8,0,0
2020-10-1516:21:45,8,0,0
2020-10-1516:21:46,8,0,0
2020-10-1516:21:47,,0,0
2020-10-1516:21:48,,0,0
2020-10-1516:21:49,14,0,0
2020-10-1516:21:50,,0,0
2020-10-1516:21:51,0,0,0
2020-10-1516:21:52,,0,0
2020-10-1516:21:53,,0,0
2020-10-1516:21:54,,0,0
2020-10-1516:21:55,,0,0
2020-10-1516:21:56,44,0,0
2020-10-1516:21:57,46,0,0
2020-10-1516:21:58,48,0,0
2020-10-1516:21:58,68,0,0
2020-10-1516:21:59,,0,0
2020-10-1516:22:00,,0,0
2020-10-1516:22:01,,0,0
2020-10-1516:22:02,,0,0
2020-10-1516:22:03,,0,0
2020-10-1516:22:04,,0,0
2020-10-1516:22:05,57,0,0
2020-10-1516:22:06,57,0,0
2020-10-1516:22:07,57,0,0
2020-10-1516:22:08,8,0,0
2020-10-1516:22:09,8,0,0
2020-10-1516:22:10,28,0,0
2020-10-1516:22:11,57,0,0
2020-10-1516:22:12,57,0,0
2020-10-1516:22:13,,0,0
2020-10-1516:22:14,,0,0
2020-10-1516:22:15,,0,0
2020-10-1516:22:16,,0,0
2020-10-1516:22:17,51,0,0
2020-10-1516:22:17,,0,0
2020-10-1516:22:18,,0,0
2020-10-1516:22:19,,0,0
2020-10-1516:22:20,51,0,0
2020-10-1516:22:21,,0,0
2020-10-1516:22:22,,0,0
2020-10-1516:22:23,,0,0
2020-10-1516:22:24,,0,0
