date_time,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:45:53,41,0,0,1.4887,0,0,0
2020-10-0610:45:53,,0,0,1.6716,0,0,0
2020-10-0610:45:53,,0,0,0.4032,0,0,0
2020-10-0610:45:54,42,0,0,0.8908,0,0,0
2020-10-0610:45:54,4,0,0,0.8847,0,0,0
2020-10-0610:45:55,,0,0,0.1101,0,0,0
2020-10-0610:45:55,,0,0,0.6481,0,0,0
2020-10-0610:45:55,,0,0,0.5875,0,0,0
2020-10-0610:45:56,43,0,0,3.5545,0,0,0
2020-10-0610:45:56,,0,0,3.5252,0,0,0
2020-10-0610:45:56,43,0,0,0.3327,0,0,0
2020-10-0610:45:57,,0,0,2.3431,0,0,0
2020-10-0610:45:57,,0,0,2.3855,0,0,0
2020-10-0610:45:57,,0,0,1.9412,0,0,0
2020-10-0610:45:58,,0,0,2.3026,0,0,0
2020-10-0610:45:58,44,0,0,1.8811,0,0,0
2020-10-0610:45:58,,0,0,4.3082,0,0,0
2020-10-0610:45:59,,0,0,2.4373,0,0,0
2020-10-0610:45:59,,0,0,2.0272,0,0,0
2020-10-0610:45:59,45,0,0,0.7916,0,0,0
2020-10-0610:45:59,45,0,0,0,0,0,0
2020-10-0610:46:00,45,0,0,0.8374,0,0,0
2020-10-0610:46:00,,0,0,0.4111,0,0,0
2020-10-0610:46:00,,0,0,0.5333,0,0,0
2020-10-0610:46:01,4,0,0,0.3635,0,0,0
2020-10-0610:46:01,42,0,0,0.3495,0,0,0
2020-10-0610:46:01,40,0,0,1.3338,0,0,0
2020-10-0610:46:02,40,0,0,1.3728,0,0,0
2020-10-0610:46:02,,0,0,0.9571,0,0,0
2020-10-0610:46:02,37,0,0,3.096,0,0,0
2020-10-0610:46:03,,0,0,3.1286,0,0,0
2020-10-0610:46:03,35,0,0,3.2356,0,0,0
2020-10-0610:46:03,,0,0,2.7803,0,0,0
2020-10-0610:46:04,33,0,0,2.9397,0,0,0
2020-10-0610:46:04,,0,0,2.8723,0,0,0
2020-10-0610:46:04,,0,0,2.1538,0,0,0
2020-10-0610:46:05,30,0,0,2.6074,0,0,0
2020-10-0610:46:05,30,0,0,3.0197,0,0,0
2020-10-0610:46:05,18,0,0,3.4918,0,0,0
2020-10-0610:46:06,4,0,0,3.2508,0,0,0
2020-10-0610:46:06,,0,0,3.2313,0,0,0
2020-10-0610:46:06,29,0,0,1.9949,0,0,0
2020-10-0610:46:07,29,0,0,1.393,0,0,0
2020-10-0610:46:07,30,0,0,1.0113,0,0,0
2020-10-0610:46:08,30,0,0,1.0157,0,0,0
2020-10-0610:46:08,31,0,0,0.483,0,0,0
2020-10-0610:46:08,32,0,0,0.1113,0,0,0
2020-10-0610:46:09,,0,0,1.2234,0,0,0
2020-10-0610:46:09,,0,0,0.3012,0,0,0
2020-10-0610:46:09,36,0,0,0.053,0,0,0
2020-10-0610:46:10,,0,0,0,0,0,0
2020-10-0610:46:10,,0,0,0,0,0,0
2020-10-0610:46:10,39,0,0,0,0,0,0
2020-10-0610:46:11,,0,0,0,0,0,0
2020-10-0610:46:11,4,0,0,0,0,0,0
2020-10-0610:46:11,,0,0,0,0,0,0
2020-10-0610:46:11,,0,0,0,0,0,0
2020-10-0610:46:12,4,0,0,0,0,0,0
2020-10-0610:46:12,48,0,0,0,0,0,0
2020-10-0610:46:12,,0,0,0,0,0,0
2020-10-0610:46:13,,0,0,0,0,0,0
2020-10-0610:46:13,,0,0,0,0,0,0
2020-10-0610:46:13,,0,0,0,0,0,0
2020-10-0610:46:14,617,0,0,0,0,0,0
2020-10-0610:46:14,4,0,0,0,0,0,0
2020-10-0610:46:14,64,0,0,0,0,0,0
2020-10-0610:46:15,67,0,0,0,0,0,0
2020-10-0610:46:15,69,0,0,0,0,0,0
2020-10-0610:46:15,71,0,0,0.8353,0,0,0
2020-10-0610:46:16,4,0,0,0.777,0,0,0
2020-10-0610:46:16,,0,0,0.606,0,0,0
2020-10-0610:46:16,,0,0,0,0,0,0
2020-10-0610:46:17,73,0,0,0,0,0,0
2020-10-0610:46:17,,0,0,0,0,0,0
2020-10-0610:46:17,73,0,0,0,0,0,0
2020-10-0610:46:18,,0,0,0,0,0,0
2020-10-0610:46:18,4,0,0,0,0,0,0
2020-10-0610:46:18,,0,0,0,0,0,0
2020-10-0610:46:19,71,0,0,0,0,0,0
2020-10-0610:46:19,4,0,0,0,0,0,0
2020-10-0610:46:20,68,0,0,0,0,0,0
2020-10-0610:46:20,67,0,0,0,0,0,0
2020-10-0610:46:20,65,0,0,0,0,0,0
2020-10-0610:46:21,64,0,0,0,0,0,0
2020-10-0610:46:21,,1,0,0,1.4753,0,0
2020-10-0610:46:21,60,1,0,0,1.6797,0,0
2020-10-0610:46:22,,1,0,0,1.7354,0,0
2020-10-0610:46:22,,1,0,0,1.6028,0,0
2020-10-0610:46:22,,0,0,0,0,0,0
2020-10-0610:46:23,,0,0,0,0,0,0
2020-10-0610:46:23,49,0,0,0,0,0,0
2020-10-0610:46:23,,0,0,0,0,0,0
2020-10-0610:46:23,46,0,0,0,0,0,0
2020-10-0610:46:24,45,0,0,0,0,0,0
2020-10-0610:46:24,,0,0,0,0,0,0
2020-10-0610:46:24,,0,0,0,0,0,0
2020-10-0610:46:25,42,0,0,0,0,0,0
2020-10-0610:46:25,,0,0,0,0,0,0
2020-10-0610:46:25,40,0,0,0,0,0,0
2020-10-0610:46:26,39,0,0,0,0,0,0
2020-10-0610:46:26,4,0,0,0,0,0,0
2020-10-0610:46:26,,0,0,0,0,0,0
2020-10-0610:46:27,,0,0,0,0,0,0
2020-10-0610:46:27,,0,0,0,0,0,0
2020-10-0610:46:27,37,0,0,0,0,0,0
2020-10-0610:46:28,36,0,0,0,0,0,0
2020-10-0610:46:28,35,0,0,0,0,0,0
2020-10-0610:46:28,32,0,0,0,0,0,0
2020-10-0610:46:29,,0,0,0,0,0,0
2020-10-0610:46:29,,0,0,0,0,0,0
2020-10-0610:46:29,26,0,0,0,0,0,0
2020-10-0610:46:29,23,0,0,0,0,0,0
2020-10-0610:46:30,20,0,0,0,0,0,0
2020-10-0610:46:30,16,0,0,0,0,0,0
2020-10-0610:46:30,14,0,0,0,0,0,0
2020-10-0610:46:31,,0,0,0,0,0,0
2020-10-0610:46:31,,0,0,0,0,0,0
2020-10-0610:46:31,,0,0,0,0,0,0
2020-10-0610:46:32,,0,0,0,0,0,0
2020-10-0610:46:32,,0,0,0,0,0,0
2020-10-0610:46:32,,0,0,0,0,0,0
2020-10-0610:46:33,,0,0,0,0,0,0
2020-10-0610:46:33,,0,0,0,0,0,0
2020-10-0610:46:33,,0,0,0,0,0,0
2020-10-0610:46:34,,0,0,0,0,0,0
2020-10-0610:46:34,,0,0,0,0,0,0
2020-10-0610:46:34,,0,0,0,0,0,0
2020-10-0610:46:35,,0,0,0,0,0,0
2020-10-0610:46:35,,0,0,0,0,0,0
2020-10-0610:46:35,,0,0,0,0,0,0
2020-10-0610:46:36,,0,0,0,0,0,0
2020-10-0610:46:36,,0,0,0,0,0,0
2020-10-0610:46:36,,0,0,0,0,0,0
2020-10-0610:46:37,,0,0,0,0,0,0
2020-10-0610:46:37,,0,0,0,0,0,0
2020-10-0610:46:37,,0,0,0,0,0,0
2020-10-0610:46:38,,0,0,0,0,0,0
2020-10-0610:46:38,,0,0,0,0,0,0
2020-10-0610:46:38,,0,0,0,0,0,0
2020-10-0610:46:39,,0,0,0,0,0,0
2020-10-0610:46:39,,0,0,0,0,0,0
2020-10-0610:46:39,,0,0,0,0,0,0
2020-10-0610:46:40,,0,0,0,0,0,0
2020-10-0610:46:40,,0,0,0,0,0,0
2020-10-0610:46:40,,0,0,0,0,0,0
2020-10-0610:46:41,,0,0,0,0,0,0
2020-10-0610:46:41,,0,0,0,0,0,0
2020-10-0610:46:41,,0,0,0,0,0,0
