date_time,condition,speed,lane,auto,lane_white_avg,lane_green_avg,auto_white_avg,auto_green_avg
2020-10-0610:47:38,normal,,0,0,0,0,0,0
2020-10-0610:47:38,normal,48,0,0,2.298983051,0,0,0
2020-10-0610:47:38,normal,,0,0,0.34086629,0,0,0
2020-10-0610:47:38,normal,48,0,0,0.3990960452,0,0,0
2020-10-0610:47:39,normal,48,0,0,0.5330320151,0,0,0
2020-10-0610:47:39,normal,48,0,0,0.508700565,0,0,0
2020-10-0610:48:34,normal,,0,1,0,0,0,14.41809398
2020-10-0610:48:34,normal,,0,1,0,0,0,15.62986386
2020-10-0610:48:34,normal,,0,1,0,0,0,14.36012297
2020-10-0610:48:35,normal,,0,1,0,0,0,14.39525692
2020-10-0610:48:35,normal,,0,1,0,0,0,14.38875714
2020-10-0610:48:35,normal,,0,1,0.2481355932,0,0,16.26780852
2020-10-0610:48:35,normal,,0,1,0,0,0,16.99086517
2020-10-0610:48:35,normal,,0,1,0,0,0,14.40324989
2020-10-0610:48:36,normal,,0,1,0,0,0,14.35494071
2020-10-0610:48:36,normal,,0,1,0,0,0,14.20816864
2020-10-0610:48:36,normal,,0,1,0,0,0,15.79534475
2020-10-0610:48:36,normal,,0,1,0,0,0,14.53245498
2020-10-0610:48:36,normal,81,0,1,0,0,0,14.3030303
2020-10-0610:48:37,normal,9,0,1,0,0,0,14.46982872
2020-10-0610:48:37,normal,,0,1,0,0,0,14.64646465
2020-10-0610:48:37,normal,,0,1,1.570169492,0,0,14.2188845
2020-10-0610:48:37,normal,,0,1,0.5328813559,0,0,14.19095301
2020-10-0610:48:37,normal,,0,1,0.2151412429,0,0,15.39508125
2020-10-0610:48:38,normal,,0,1,0.2040677966,0,0,15.19323671
2020-10-0610:48:38,normal,,0,1,0.2108474576,0,0,15.49389548
2020-10-0610:48:38,normal,,0,1,0.1929943503,0,0,14.37092666
2020-10-0610:48:38,normal,,0,1,0.8097175141,0,0,15.42222222
2020-10-0610:48:38,normal,,0,1,0.7220338983,0,0,14.95335968
2020-10-0610:48:39,normal,,0,1,0.6727683616,0,0,14.95344752
2020-10-0610:48:39,normal,,0,1,0.7360451977,0,0,15.08432148
2020-10-0610:48:39,normal,,0,1,0.5270056497,0,0,14.76073781
2020-10-0610:48:39,normal,,0,1,0.4201129944,0,0,14.81563461
