date,time,speed,lane,auto
2020-10-06,11:25:09,97,1,1
2020-10-06,11:25:09,971,1,1
2020-10-06,11:25:09,,1,1
2020-10-06,11:25:09,,1,1
2020-10-06,11:25:09,,1,1
2020-10-06,11:25:09,91,1,1
2020-10-06,11:25:09,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,91,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,97,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,91,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,91,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,91,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,97,1,1
2020-10-06,11:25:10,97,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,,1,1
2020-10-06,11:25:10,91,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,91,1,1
2020-10-06,11:25:11,91,1,1
2020-10-06,11:25:11,97,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,97,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,97,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,0,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,2,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,97,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,11:25:11,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
2020-10-06,,,1,1
